00000000,  8,  0
00000001,  7,  1
00000010,  7,  1
00000011,  6,  2
00000100,  7,  1
00000101,  6,  2
00000110,  6,  2
00000111,  5,  3
00001000,  7,  1
00001001,  6,  2
00001010,  6,  2
00001011,  5,  3
00001100,  6,  2
00001101,  5,  3
00001110,  5,  3
00001111,  4,  4
00010000,  7,  1
00010001,  6,  2
00010010,  6,  2
00010011,  5,  3
00010100,  6,  2
00010101,  5,  3
00010110,  5,  3
00010111,  4,  4
00011000,  6,  2
00011001,  5,  3
00011010,  5,  3
00011011,  4,  4
00011100,  5,  3
00011101,  4,  4
00011110,  4,  4
00011111,  3,  5
00100000,  7,  1
00100001,  6,  2
00100010,  6,  2
00100011,  5,  3
00100100,  6,  2
00100101,  5,  3
00100110,  5,  3
00100111,  4,  4
00101000,  6,  2
00101001,  5,  3
00101010,  5,  3
00101011,  4,  4
00101100,  5,  3
00101101,  4,  4
00101110,  4,  4
00101111,  3,  5
00110000,  6,  2
00110001,  5,  3
00110010,  5,  3
00110011,  4,  4
00110100,  5,  3
00110101,  4,  4
00110110,  4,  4
00110111,  3,  5
00111000,  5,  3
00111001,  4,  4
00111010,  4,  4
00111011,  3,  5
00111100,  4,  4
00111101,  3,  5
00111110,  3,  5
00111111,  2,  6
01000000,  7,  1
01000001,  6,  2
01000010,  6,  2
01000011,  5,  3
01000100,  6,  2
01000101,  5,  3
01000110,  5,  3
01000111,  4,  4
01001000,  6,  2
01001001,  5,  3
01001010,  5,  3
01001011,  4,  4
01001100,  5,  3
01001101,  4,  4
01001110,  4,  4
01001111,  3,  5
01010000,  6,  2
01010001,  5,  3
01010010,  5,  3
01010011,  4,  4
01010100,  5,  3
01010101,  4,  4
01010110,  4,  4
01010111,  3,  5
01011000,  5,  3
01011001,  4,  4
01011010,  4,  4
01011011,  3,  5
01011100,  4,  4
01011101,  3,  5
01011110,  3,  5
01011111,  2,  6
01100000,  6,  2
01100001,  5,  3
01100010,  5,  3
01100011,  4,  4
01100100,  5,  3
01100101,  4,  4
01100110,  4,  4
01100111,  3,  5
01101000,  5,  3
01101001,  4,  4
01101010,  4,  4
01101011,  3,  5
01101100,  4,  4
01101101,  3,  5
01101110,  3,  5
01101111,  2,  6
01110000,  5,  3
01110001,  4,  4
01110010,  4,  4
01110011,  3,  5
01110100,  4,  4
01110101,  3,  5
01110110,  3,  5
01110111,  2,  6
01111000,  4,  4
01111001,  3,  5
01111010,  3,  5
01111011,  2,  6
01111100,  3,  5
01111101,  2,  6
01111110,  2,  6
01111111,  1,  7
10000000,  7,  1
10000001,  6,  2
10000010,  6,  2
10000011,  5,  3
10000100,  6,  2
10000101,  5,  3
10000110,  5,  3
10000111,  4,  4
10001000,  6,  2
10001001,  5,  3
10001010,  5,  3
10001011,  4,  4
10001100,  5,  3
10001101,  4,  4
10001110,  4,  4
10001111,  3,  5
10010000,  6,  2
10010001,  5,  3
10010010,  5,  3
10010011,  4,  4
10010100,  5,  3
10010101,  4,  4
10010110,  4,  4
10010111,  3,  5
10011000,  5,  3
10011001,  4,  4
10011010,  4,  4
10011011,  3,  5
10011100,  4,  4
10011101,  3,  5
10011110,  3,  5
10011111,  2,  6
10100000,  6,  2
10100001,  5,  3
10100010,  5,  3
10100011,  4,  4
10100100,  5,  3
10100101,  4,  4
10100110,  4,  4
10100111,  3,  5
10101000,  5,  3
10101001,  4,  4
10101010,  4,  4
10101011,  3,  5
10101100,  4,  4
10101101,  3,  5
10101110,  3,  5
10101111,  2,  6
10110000,  5,  3
10110001,  4,  4
10110010,  4,  4
10110011,  3,  5
10110100,  4,  4
10110101,  3,  5
10110110,  3,  5
10110111,  2,  6
10111000,  4,  4
10111001,  3,  5
10111010,  3,  5
10111011,  2,  6
10111100,  3,  5
10111101,  2,  6
10111110,  2,  6
10111111,  1,  7
11000000,  6,  2
11000001,  5,  3
11000010,  5,  3
11000011,  4,  4
11000100,  5,  3
11000101,  4,  4
11000110,  4,  4
11000111,  3,  5
11001000,  5,  3
11001001,  4,  4
11001010,  4,  4
11001011,  3,  5
11001100,  4,  4
11001101,  3,  5
11001110,  3,  5
11001111,  2,  6
11010000,  5,  3
11010001,  4,  4
11010010,  4,  4
11010011,  3,  5
11010100,  4,  4
11010101,  3,  5
11010110,  3,  5
11010111,  2,  6
11011000,  4,  4
11011001,  3,  5
11011010,  3,  5
11011011,  2,  6
11011100,  3,  5
11011101,  2,  6
11011110,  2,  6
11011111,  1,  7
11100000,  5,  3
11100001,  4,  4
11100010,  4,  4
11100011,  3,  5
11100100,  4,  4
11100101,  3,  5
11100110,  3,  5
11100111,  2,  6
11101000,  4,  4
11101001,  3,  5
11101010,  3,  5
11101011,  2,  6
11101100,  3,  5
11101101,  2,  6
11101110,  2,  6
11101111,  1,  7
11110000,  4,  4
11110001,  3,  5
11110010,  3,  5
11110011,  2,  6
11110100,  3,  5
11110101,  2,  6
11110110,  2,  6
11110111,  1,  7
11111000,  3,  5
11111001,  2,  6
11111010,  2,  6
11111011,  1,  7
11111100,  2,  6
11111101,  1,  7
11111110,  1,  7
11111111,  0,  8
